id_student,code_module,code_presentation,gender,age_band,imd_band,final_result,is_at_risk,risk_score,risk_tier,predicted_risk
11391,AAA,2013J,M,55<=,90-100%,Pass,0,0.053942706,Low,0
28400,AAA,2013J,F,35-55,20-30%,Pass,0,0.08717551,Low,0
30268,AAA,2013J,F,35-55,30-40%,Withdrawn,1,0.99989665,High,1
31604,AAA,2013J,F,35-55,50-60%,Pass,0,0.020399218,Low,0
32885,AAA,2013J,F,0-35,50-60%,Pass,0,0.42024648,Medium,0
38053,AAA,2013J,M,35-55,80-90%,Pass,0,0.017629419,Low,0
45462,AAA,2013J,M,0-35,30-40%,Pass,0,0.04366079,Low,0
45642,AAA,2013J,F,0-35,90-100%,Pass,0,0.027673367,Low,0
52130,AAA,2013J,F,0-35,70-80%,Pass,0,0.049833957,Low,0
53025,AAA,2013J,M,55<=,?,Pass,0,0.003681586,Low,0
57506,AAA,2013J,M,35-55,70-80%,Pass,0,0.030393064,Low,0
58873,AAA,2013J,F,0-35,20-30%,Pass,0,0.023415681,Low,0
59185,AAA,2013J,M,35-55,60-70%,Pass,0,0.053364053,Low,0
62155,AAA,2013J,F,0-35,50-60%,Pass,0,0.014773145,Low,0
63400,AAA,2013J,M,35-55,40-50%,Pass,0,0.037555687,Low,0
65002,AAA,2013J,F,0-35,70-80%,Withdrawn,1,0.99895966,High,1
70464,AAA,2013J,F,35-55,60-70%,Pass,0,0.18096158,Low,0
71361,AAA,2013J,M,35-55,?,Pass,0,0.025824971,Low,0
74372,AAA,2013J,M,35-55,10-20,Fail,1,0.95877004,High,1
75091,AAA,2013J,M,35-55,30-40%,Pass,0,0.026344372,Low,0
77367,AAA,2013J,M,0-35,30-40%,Pass,0,0.0260446,Low,0
91265,AAA,2013J,M,0-35,0-10%,Pass,0,0.047652606,Low,0
94961,AAA,2013J,M,35-55,70-80%,Withdrawn,1,0.8374314,High,1
98094,AAA,2013J,M,35-55,70-80%,Pass,0,0.07963383,Low,0
100893,AAA,2013J,M,0-35,20-30%,Pass,0,0.023328591,Low,0
101781,AAA,2013J,M,35-55,80-90%,Pass,0,0.024116779,Low,0
102806,AAA,2013J,M,0-35,30-40%,Pass,0,0.010761573,Low,0
102952,AAA,2013J,M,0-35,60-70%,Pass,0,0.023079807,Low,0
104476,AAA,2013J,M,35-55,?,Pass,0,0.0036522627,Low,0
106247,AAA,2013J,M,35-55,80-90%,Withdrawn,1,0.995434,High,1
106577,AAA,2013J,M,0-35,20-30%,Pass,0,0.20804548,Low,0
110175,AAA,2013J,M,35-55,80-90%,Pass,0,0.054680806,Low,0
111717,AAA,2013J,F,35-55,90-100%,Pass,0,0.024505613,Low,0
113295,AAA,2013J,M,35-55,60-70%,Pass,0,0.009584194,Low,0
114017,AAA,2013J,F,35-55,?,Pass,0,0.024653621,Low,0
114999,AAA,2013J,M,35-55,60-70%,Pass,0,0.04078097,Low,0
116541,AAA,2013J,M,0-35,0-10%,Pass,0,0.12155258,Low,0
116692,AAA,2013J,M,35-55,70-80%,Pass,0,0.09940187,Low,0
118983,AAA,2013J,M,0-35,30-40%,Pass,0,0.07759315,Low,0
123044,AAA,2013J,M,35-55,40-50%,Pass,0,0.023967205,Low,0
127582,AAA,2013J,F,0-35,40-50%,Pass,0,0.049317993,Low,0
129955,AAA,2013J,M,0-35,50-60%,Withdrawn,1,0.9985341,High,1
132976,AAA,2013J,F,35-55,80-90%,Pass,0,0.050008178,Low,0
134143,AAA,2013J,F,35-55,90-100%,Distinction,0,0.0031052614,Low,0
135335,AAA,2013J,F,0-35,20-30%,Withdrawn,1,0.999933,High,1
135400,AAA,2013J,F,35-55,90-100%,Withdrawn,1,0.7408825,High,1
137873,AAA,2013J,M,35-55,40-50%,Pass,0,0.0042986064,Low,0
141355,AAA,2013J,F,0-35,30-40%,Pass,0,0.09278382,Low,0
141377,AAA,2013J,M,0-35,90-100%,Withdrawn,1,0.8164338,High,1
142326,AAA,2013J,F,35-55,50-60%,Pass,0,0.026008813,Low,0
144801,AAA,2013J,F,35-55,80-90%,Pass,0,0.02429642,Low,0
145130,AAA,2013J,M,0-35,60-70%,Pass,0,0.29636785,Low,0
146188,AAA,2013J,F,0-35,20-30%,Fail,1,0.29655966,Low,0
147756,AAA,2013J,M,0-35,60-70%,Fail,1,0.2854666,Low,0
147793,AAA,2013J,F,0-35,80-90%,Withdrawn,1,0.9998728,High,1
148993,AAA,2013J,F,35-55,30-40%,Withdrawn,1,0.42045432,Medium,0
151358,AAA,2013J,F,0-35,80-90%,Pass,0,0.080836475,Low,0
155550,AAA,2013J,M,35-55,0-10%,Pass,0,0.09940544,Low,0
155854,AAA,2013J,F,35-55,20-30%,Pass,0,0.0040847766,Low,0
155984,AAA,2013J,F,0-35,70-80%,Withdrawn,1,0.4994313,Medium,0
157568,AAA,2013J,F,0-35,90-100%,Pass,0,0.08889383,Low,0
159954,AAA,2013J,M,35-55,40-50%,Withdrawn,1,0.98009616,High,1
164259,AAA,2013J,M,0-35,70-80%,Pass,0,0.018828614,Low,0
167906,AAA,2013J,F,35-55,40-50%,Pass,0,0.055117603,Low,0
168936,AAA,2013J,F,35-55,10-20,Pass,0,0.05452298,Low,0
172112,AAA,2013J,M,35-55,?,Pass,0,0.011735986,Low,0
172797,AAA,2013J,F,35-55,?,Pass,0,0.057558235,Low,0
174782,AAA,2013J,M,55<=,90-100%,Pass,0,0.0028506767,Low,0
175392,AAA,2013J,M,35-55,?,Pass,0,0.0046002786,Low,0
175932,AAA,2013J,M,35-55,70-80%,Pass,0,0.080942966,Low,0
175991,AAA,2013J,F,0-35,80-90%,Fail,1,0.9522361,High,1
180753,AAA,2013J,M,0-35,30-40%,Pass,0,0.05410053,Low,0
181316,AAA,2013J,F,35-55,80-90%,Withdrawn,1,0.9998915,High,1
183096,AAA,2013J,F,0-35,60-70%,Pass,0,0.058576968,Low,0
183947,AAA,2013J,M,0-35,10-20,Pass,0,0.11976778,Low,0
184271,AAA,2013J,M,35-55,80-90%,Pass,0,0.053873885,Low,0
185439,AAA,2013J,M,0-35,10-20,Fail,1,0.9996314,High,1
186149,AAA,2013J,M,35-55,30-40%,Pass,0,0.04743042,Low,0
187100,AAA,2013J,M,35-55,50-60%,Distinction,0,0.0018371231,Low,0
