id_student,code_module,is_at_risk,risk_score,risk_tier,predicted_risk,top_reason,top_shap,reason_2,reason_3,engagement_span,dropout_modules,mean_score,active_days,engagement_decline
11391,AAA,0,0.053942706,Low,0,engagement_span,1.9015647,dropout_modules,score_std,258.0,0,82.0,40.0,0.4027303754266211
28400,AAA,0,0.08717551,Low,0,engagement_span,1.7889532,dropout_modules,mean_score,249.0,0,66.4,80.0,0.2259259259259259
30268,AAA,1,0.99989665,High,1,engagement_span,2.9147985,engagement_decline,mean_score,22.0,1,0.0,12.0,0.99645390070922
31604,AAA,0,0.020399218,Low,0,engagement_span,2.050812,dropout_modules,score_std,274.0,0,76.0,123.0,-0.2360248447204969
32885,AAA,0,0.42024648,Medium,0,engagement_span,1.5090305,mean_score,min_score,257.0,0,54.4,70.0,0.4853801169590643
38053,AAA,0,0.017629419,Low,0,engagement_span,1.9506295,dropout_modules,active_days,277.0,0,68.0,143.0,-0.3063147973609802
45462,AAA,0,0.04366079,Low,0,engagement_span,1.9537358,dropout_modules,mean_score,277.0,0,68.0,90.0,-0.0550206327372764
45642,AAA,0,0.027673367,Low,0,engagement_span,1.9578995,dropout_modules,score_std,273.0,0,72.4,105.0,-0.1898928024502297
52130,AAA,0,0.049833957,Low,0,engagement_span,1.6669149,dropout_modules,engagement_decline,249.0,0,71.4,122.0,-0.6224066390041494
53025,AAA,0,0.003681586,Low,0,engagement_span,1.9846128,dropout_modules,score_std,264.0,0,78.0,142.0,-0.6094137076796037
57506,AAA,0,0.030393064,Low,0,engagement_span,1.8766437,dropout_modules,score_std,253.0,0,74.0,90.0,0.3042362002567394
58873,AAA,0,0.023415681,Low,0,engagement_span,1.9765447,dropout_modules,score_std,266.0,0,73.2,120.0,-0.1407407407407407
59185,AAA,0,0.053364053,Low,0,engagement_span,1.8423513,dropout_modules,mean_score,255.0,0,78.6,61.0,0.4793388429752066
62155,AAA,0,0.014773145,Low,0,engagement_span,2.1361248,dropout_modules,score_std,275.0,0,76.0,148.0,-0.1758664955070603
63400,AAA,0,0.037555687,Low,0,engagement_span,1.910082,dropout_modules,active_day_rate,278.0,0,71.6,175.0,-0.1652173913043478
65002,AAA,1,0.99895966,High,1,engagement_decline,1.9810928,dropout_modules,num_unsubmitted,225.0,1,67.0,13.0,0.9770114942528736
70464,AAA,0,0.18096158,Low,0,engagement_span,1.5999674,mean_score,dropout_modules,258.0,0,55.6,46.0,0.0887681159420289
71361,AAA,0,0.025824971,Low,0,engagement_span,1.983866,dropout_modules,mean_score,253.0,0,80.4,135.0,0.4827361563517915
74372,AAA,1,0.95877004,High,1,mean_score,1.3190554,num_unsubmitted,min_score,218.0,0,48.5,14.0,0.4675324675324675
75091,AAA,0,0.026344372,Low,0,engagement_span,2.001683,dropout_modules,score_std,264.0,0,66.0,122.0,0.013271400132714
77367,AAA,0,0.0260446,Low,0,engagement_span,1.8892208,dropout_modules,num_unsubmitted,260.0,0,70.4,86.0,0.2992518703241895
91265,AAA,0,0.047652606,Low,0,engagement_span,1.863519,dropout_modules,num_unsubmitted,267.0,0,70.8,125.0,-0.0080536912751677
94961,AAA,1,0.8374314,High,1,dropout_modules,1.589093,engagement_span,submission_rate,289.0,1,65.33333333333333,93.0,0.5789473684210527
98094,AAA,0,0.07963383,Low,0,engagement_span,1.9817675,mean_score,dropout_modules,274.0,0,60.6,91.0,0.2623853211009174
100893,AAA,0,0.023328591,Low,0,engagement_span,1.8592925,dropout_modules,score_std,259.0,0,68.4,52.0,0.0822622107969151
101781,AAA,0,0.024116779,Low,0,engagement_span,2.0141935,dropout_modules,active_days,278.0,0,72.6,144.0,0.0558712121212121
102806,AAA,0,0.010761573,Low,0,engagement_span,2.0459273,dropout_modules,active_day_rate,277.0,0,78.0,177.0,-0.126775956284153
102952,AAA,0,0.023079807,Low,0,engagement_span,1.7912167,dropout_modules,score_std,249.0,0,76.6,58.0,-0.3462321792260692
104476,AAA,0,0.0036522627,Low,0,engagement_span,1.9128335,dropout_modules,score_std,268.0,0,79.6,161.0,-0.8981200727713766
106247,AAA,1,0.995434,High,1,engagement_span,2.88648,avg_reg_delay,dropout_modules,138.0,1,60.0,33.0,0.8236775818639799
106577,AAA,0,0.20804548,Low,0,engagement_span,1.6555858,mean_score,dropout_modules,263.0,0,53.4,47.0,0.1297709923664122
110175,AAA,0,0.054680806,Low,0,engagement_span,1.681314,dropout_modules,mean_score,252.0,0,63.4,70.0,-0.1459227467811159
111717,AAA,0,0.024505613,Low,0,engagement_span,2.0519772,dropout_modules,mean_score,259.0,0,81.0,136.0,0.0160744500846023
113295,AAA,0,0.009584194,Low,0,engagement_span,2.1746538,dropout_modules,score_std,270.0,0,77.6,195.0,0.0520547945205479
114017,AAA,0,0.024653621,Low,0,engagement_span,1.8769486,score_std,dropout_modules,266.0,0,71.8,50.0,0.4350515463917526
114999,AAA,0,0.04078097,Low,0,engagement_span,1.95156,dropout_modules,num_unsubmitted,274.0,0,72.8,120.0,0.0736543909348441
116541,AAA,0,0.12155258,Low,0,engagement_span,1.5789679,mean_score,dropout_modules,242.0,0,62.4,108.0,-0.3808322824716267
116692,AAA,0,0.09940187,Low,0,engagement_span,1.0824904,dropout_modules,score_std,238.0,0,74.2,98.0,0.5040431266846361
118983,AAA,0,0.07759315,Low,0,engagement_span,1.7054414,dropout_modules,mean_score,278.0,0,61.8,27.0,-0.234375
123044,AAA,0,0.023967205,Low,0,engagement_span,1.9020787,dropout_modules,score_std,257.0,0,71.4,127.0,0.1494565217391304
127582,AAA,0,0.049317993,Low,0,engagement_span,1.686072,dropout_modules,score_std,250.0,0,69.6,89.0,-0.3457446808510638
129955,AAA,1,0.9985341,High,1,engagement_span,3.8838198,dropout_modules,num_unsubmitted,151.0,2,81.0,110.0,0.4184100418410041
132976,AAA,0,0.050008178,Low,0,engagement_span,1.3501358,dropout_modules,engagement_decline,252.0,0,67.4,32.0,-1.3037974683544304
134143,AAA,0,0.0031052614,Low,0,engagement_span,2.0860083,dropout_modules,mean_score,278.0,0,84.4,138.0,-0.2974789915966386
135335,AAA,1,0.9999398,High,1,engagement_span,2.8713012,engagement_decline,mean_score,48.0,2,0.0,14.0,0.9864864864864864
135400,AAA,1,0.7408825,High,1,engagement_span,1.1907355,dropout_modules,mean_score,244.0,1,53.142857142857146,43.0,0.40625
137873,AAA,0,0.0042986064,Low,0,engagement_span,2.1233582,dropout_modules,mean_score,260.0,0,80.2,192.0,-0.2217758135797509
141355,AAA,0,0.09278382,Low,0,engagement_span,1.9615728,dropout_modules,studied_credits,265.0,0,72.6,92.0,-0.242014742014742
141377,AAA,1,0.8164338,High,1,dropout_modules,1.2314516,engagement_span,mean_score,243.0,1,48.833333333333336,41.0,0.0157068062827225
142326,AAA,0,0.026008813,Low,0,engagement_span,1.60024,dropout_modules,engagement_decline,247.0,0,73.6,95.0,-0.9775596072931276
144801,AAA,0,0.02429642,Low,0,engagement_span,1.9034973,dropout_modules,engagement_decline,277.0,0,68.8,200.0,-0.6852116024726581
145130,AAA,0,0.29636785,Low,0,engagement_span,1.5388215,mean_score,dropout_modules,271.0,0,54.4,35.0,0.3550724637681159
146188,AAA,1,0.29655966,Low,0,engagement_span,1.577154,mean_score,dropout_modules,265.0,0,50.0,32.0,-0.2350746268656716
147756,AAA,1,0.28974327,Low,0,engagement_span,1.2878617,min_score,dropout_modules,255.0,0,68.66666666666667,127.0,-0.3433242506811989
147793,AAA,1,0.9998728,High,1,engagement_span,3.029146,engagement_decline,num_unsubmitted,68.0,1,52.0,9.0,0.9935897435897436
148993,AAA,1,0.42045432,Medium,0,dropout_modules,1.9658606,engagement_span,mean_score,293.0,1,79.5,198.0,-0.012664907651715
151358,AAA,0,0.080836475,Low,0,engagement_span,0.94810545,mean_score,dropout_modules,240.0,0,50.0,20.0,-2.0
155550,AAA,0,0.09940544,Low,0,engagement_span,1.6147364,dropout_modules,studied_credits,253.0,0,67.0,81.0,-0.6126279863481229
155854,AAA,0,0.0040847766,Low,0,engagement_span,2.1269958,dropout_modules,score_std,277.0,0,79.8,202.0,-0.4737492279184682
155984,AAA,1,0.4994313,Medium,0,dropout_modules,1.8707069,engagement_span,score_std,267.0,1,78.14285714285714,134.0,-0.1007936507936508
157568,AAA,0,0.08889383,Low,0,engagement_span,1.6672487,dropout_modules,num_unsubmitted,250.0,0,70.6,87.0,-0.345
159954,AAA,1,0.98009616,High,1,dropout_modules,2.5590856,num_unsubmitted,submission_rate,225.0,2,68.2,124.0,0.1571428571428571
164259,AAA,0,0.018828614,Low,0,engagement_span,1.5597483,dropout_modules,engagement_decline,273.0,0,71.8,51.0,-1.804878048780488
167906,AAA,0,0.055117603,Low,0,engagement_span,1.8457098,dropout_modules,mean_score,268.0,0,69.4,99.0,-0.2137628111273792
168936,AAA,0,0.05452298,Low,0,engagement_span,1.6544627,dropout_modules,mean_score,257.0,0,66.4,42.0,-0.1527377521613832
172112,AAA,0,0.011735986,Low,0,engagement_span,1.7522396,dropout_modules,engagement_decline,273.0,0,69.6,135.0,-1.8284023668639051
172797,AAA,0,0.057558235,Low,0,engagement_span,1.6195215,mean_score,engagement_decline,278.0,0,61.4,86.0,-2.0
174782,AAA,0,0.0028506767,Low,0,engagement_span,2.1653519,dropout_modules,mean_score,278.0,0,80.4,249.0,-0.3840060354583176
175392,AAA,0,0.0046002786,Low,0,engagement_span,2.2389307,dropout_modules,mean_score,276.0,0,82.4,197.0,0.0443956043956043
175932,AAA,0,0.080942966,Low,0,engagement_span,2.0538297,engagement_decline,score_std,263.0,0,78.2,97.0,0.6253405994550408
175991,AAA,1,0.9522361,High,1,mean_score,2.292874,engagement_span,engagement_decline,249.0,0,37.6,17.0,0.6274509803921569
180753,AAA,0,0.05410053,Low,0,engagement_span,1.8136144,mean_score,dropout_modules,273.0,0,53.4,157.0,-0.1471215351812366
